Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-05-08 10:30 (-04),,,20,Cycling,,20 min Lanebreak Ride,,213,177,46%,84,20.05,6.73,275,,,
2022-05-08 10:51 (-04),,,20,Cycling,,20 min Lanebreak Ride,,189,157,44%,86,19.17,6.41,243,,,
2022-05-08 11:13 (-04),,,15,Cycling,,15 min Lanebreak Ride,,141,155,42%,90,18.99,4.77,181,,,
2022-05-08 11:29 (-04),,,5,Cycling,,5 min Lanebreak Ride,,31,104,36%,88,16.20,1.35,40,,,
2022-05-09 09:18 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Puerto Rico Coastline Ride,,187,164,45%,85,19.63,6.21,217,122.00,,
2022-05-09 09:38 (-04),On Demand,,30,Cycling,Scenic Ride,30 min Morbihan Countryside Ride,,323,180,49%,80,20.44,10.21,398,133.00,,
2022-05-09 10:10 (-04),On Demand,Hannah Corbin,30,Cycling,Low Impact,30 min Low Impact Ride,2022-05-06 07:24 (-04),294,163,49%,76,19.68,9.84,404,134.06,,
2022-05-09 10:42 (-04),,,20,Cycling,,20 min Lanebreak Ride,,178,148,43%,85,18.70,6.25,229,,,
2022-05-09 11:03 (-04),,,5,Cycling,,5 min Lanebreak Ride,,31,101,37%,83,15.96,1.34,39,,,
2022-05-09 11:08 (-04),,,5,Cycling,,5 min Lanebreak Ride,,30,98,37%,82,15.94,1.34,38,,,
2022-05-10 09:47 (-04),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Red Hot Chili Peppers Warm Up,2022-05-04 17:00 (-04),83,138,38%,95,18.34,3.06,110,119.42,,
2022-05-10 09:57 (-04),On Demand,Emma Lovewell,30,Cycling,Music,30 min EDM Ride,2022-05-09 16:52 (-04),304,169,49%,77,19.84,9.93,391,131.40,,
2022-05-10 10:28 (-04),On Demand,Bradley Rose,30,Cycling,Music,30 min 2010s Pop Ride,2022-05-07 06:55 (-04),276,154,46%,80,19.22,9.61,398,132.84,,
2022-05-10 10:59 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2022-03-25 03:00 (-04),74,124,42%,81,17.67,2.95,125,127.43,,
2022-05-12 10:01 (-04),On Demand,Kendall Toole,10,Cycling,Warm Up,10 min Warm Up Ride,2019-12-03 17:00 (-04),99,165,42%,94,19.69,3.28,110,119.00,,
2022-05-12 10:13 (-04),On Demand,Jess King,30,Cycling,Music,30 min House Ride,2022-05-07 10:00 (-04),311,172,50%,78,20.06,10.03,388,130.83,,
2022-05-12 10:43 (-04),On Demand,Jess King,20,Cycling,Music,20 min System of a Down Ride,2022-05-07 09:23 (-04),188,156,48%,78,19.31,6.44,262,131.73,,
2022-05-12 11:05 (-04),On Demand,Jess King,30,Cycling,Music,30 min EDM Trap Ride,2022-05-06 11:53 (-04),272,151,48%,76,19.03,9.52,393,131.84,,
2022-05-12 11:36 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2020-07-16 04:25 (-04),68,114,42%,77,17.05,2.85,120,124.26,,
2022-05-13 09:45 (-04),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Red Hot Chili Peppers Warm Up,2022-05-04 17:00 (-04),87,146,39%,94,18.64,3.11,104,114.94,,
2022-05-13 09:56 (-04),On Demand,Mayla Wedekind,30,Cycling,Music,30 min Caribbean Music Ride,2022-05-12 13:25 (-04),283,157,46%,81,19.38,9.69,376,128.11,,
2022-05-13 10:27 (-04),On Demand,Denis Morton,30,Cycling,Theme,30 min Reset,2022-05-11 09:52 (-04),265,147,46%,80,18.82,9.41,389,130.82,,
2022-05-13 10:58 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2022-05-11 05:54 (-04),254,141,44%,80,18.50,9.26,407,134.68,,
2022-05-13 11:29 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2022-03-25 03:00 (-04),60,100,39%,78,16.18,2.70,122,125.92,,
2022-05-15 09:33 (-04),On Demand,Olivia Amato,10,Cycling,Power Zone,10 min FTP Warm up Ride,2022-04-22 11:00 (-04),89,149,41%,90,18.92,3.16,108,116.98,,
2022-05-15 09:44 (-04),On Demand,Sam Yo,45,Cycling,Low Impact,45 min Low Impact Ride,2022-05-15 05:24 (-04),393,146,43%,83,18.82,14.12,535,123.99,,
2022-05-15 10:30 (-04),On Demand,Ben Alldis,20,Cycling,Low Impact,20 min Low Impact Ride,2022-05-02 09:22 (-04),163,136,43%,82,18.33,6.11,251,128.22,,
